review_id,k,scale,n_specs,verdict,prosecution_theta,prosecution_p,prosecution_sig,prosecution_spec,defence_theta,defence_p,defence_sig,defence_spec,adversarial_gap,gap_class,robustness_score
CD000028,21,ratio,1386,SPLIT,-0.3113,2e-06,True,FE/Wald/none,-0.156,0.143878,False,FE/Wald/PET-PEESE,0.1553,Moderate,66.67
CD000143,12,ratio,819,SPLIT,-0.4738,6.4e-05,True,FE/Wald/none,-0.3503,0.10411,False,FE/HKSJ/none,0.1234,Moderate,87.55
CD000219,21,ratio,1386,SPLIT,-0.239,1e-06,True,FE/Wald/none,-0.2797,0.050394,False,HS/HKSJ/none,0.0408,Narrow,49.06
CD000478,13,ratio,882,SPLIT,-0.4305,2e-06,True,FE/Wald/none,-0.2893,0.058138,False,FE/Wald/PET-PEESE,0.1412,Moderate,69.05
CD000547,48,ratio,3087,SPLIT,0.8381,0.0,True,FE/Wald/none,0.303,0.073215,False,FE/HKSJ/trim-and-fill,0.5351,Extreme,66.6
CD001155,59,ratio,3780,SPLIT,-0.1429,0.012004,True,FE/Wald/none,-0.1396,0.058387,False,FE/HKSJ/none,0.0034,Narrow,93.81
CD001321,27,ratio,1764,SPLIT,-0.3027,0.0,True,FE/Wald/none,-0.1424,0.051042,False,FE/HKSJ/none,0.1603,Moderate,57.82
CD001396,30,ratio,1953,SPLIT,0.8741,0.0,True,FE/Wald/none,0.1239,0.467881,False,FE/Wald/PET-PEESE,0.7502,Extreme,66.67
CD001431,61,ratio,3906,UNANIMOUS_NULL,0.0001,0.998544,False,FE/Wald/PET-PEESE,0.033,0.133955,False,FE/Wald/trim-and-fill,0.033,Narrow,93.78
CD001533,21,ratio,1386,SPLIT,-0.1263,0.02007,True,FE/Wald/PET-PEESE,-0.0893,0.062031,False,FE/HKSJ/none,0.0371,Narrow,81.67
CD001552,3,ratio,252,SPLIT,0.3023,3.9e-05,True,FE/Wald/none,0.3023,0.200647,False,FE/HKSJ/none,0.0,Narrow,17.46
CD001703,21,ratio,1386,SPLIT,0.924,0.0,True,FE/Wald/none,0.5131,0.055769,False,FE/Wald/PET-PEESE,0.411,Wide,68.18
CD001797,5,ratio,378,SPLIT,0.8628,1e-06,True,FE/Wald/none,0.5407,0.064461,False,FE/Wald/PET-PEESE,0.3221,Wide,66.67
CD001837,49,ratio,3150,SPLIT,0.2336,0.0,True,FE/Wald/none,0.0691,0.428221,False,FE/Wald/PET-PEESE,0.1644,Moderate,66.67
CD001909,25,ratio,1638,UNANIMOUS_SIGNIFICANT,0.6121,0.0,True,FE/Wald/none,0.5498,0.0,True,REML/Wald/trim-and-fill,0.0624,Narrow,100.0
CD001920,4,ratio,315,UNANIMOUS_NULL,0.0374,0.843933,False,FE/Wald/PET-PEESE,-0.0527,0.287358,False,FE/Wald/PET-PEESE,0.0901,Narrow,93.33
CD002042,53,ratio,3402,UNANIMOUS_SIGNIFICANT,-0.449,0.0,True,FE/Wald/none,-0.368,0.0,True,FE/Wald/PET-PEESE,0.081,Narrow,100.0
CD002052,3,ratio,252,UNANIMOUS_NULL,0.0832,0.8455,False,FE/Wald/PET-PEESE,-0.2767,0.497034,False,FE/Wald/none,0.3599,Wide,91.67
CD002112,21,ratio,1386,SPLIT,0.2466,0.0,True,FE/Wald/none,0.0929,0.244888,False,FE/Wald/PET-PEESE,0.1537,Moderate,66.67
CD002115,5,ratio,378,SPLIT,0.8728,0.0,True,FE/Wald/none,0.3652,0.078248,False,FE/HKSJ/none,0.5076,Extreme,39.95
CD002122,56,ratio,3591,SPLIT,-0.17,1.3e-05,True,FE/Wald/none,-0.17,0.055542,False,FE/HKSJ/none,0.0,Narrow,48.54
CD002203,50,ratio,3213,SPLIT,-0.3,0.0,True,FE/Wald/trim-and-fill,-0.1485,0.050862,False,FE/HKSJ/none,0.1514,Moderate,28.23
CD002243,180,ratio,11403,SPLIT,-0.0943,0.0,True,FE/Wald/none,-0.0462,0.061056,False,DL/HKSJ/trim-and-fill,0.0482,Narrow,49.5
CD002290,16,ratio,1071,SPLIT,-0.2914,0.0,True,FE/Wald/none,-0.1814,0.082279,False,FE/HKSJ/trim-and-fill,0.1101,Moderate,63.4
CD002303,5,ratio,378,SPLIT,0.4133,0.0,True,HS/Wald/trim-and-fill,0.3815,0.078309,False,FE/Wald/PET-PEESE,0.0318,Narrow,64.29
CD002971,10,ratio,693,SPLIT,-0.9031,0.00012,True,FE/Wald/none,-0.5163,0.059353,False,FE/HKSJ/none,0.3868,Wide,60.03
CD003129,3,ratio,252,SPLIT,0.7341,0.001533,True,FE/Wald/none,0.7341,0.194631,False,FE/HKSJ/none,0.0,Narrow,22.22
CD003216,4,ratio,315,SPLIT,-0.6333,0.040954,True,FE/Wald/none,-0.2906,0.154404,False,FE/Wald/PET-PEESE,0.3428,Wide,71.11
CD003218,5,ratio,378,UNANIMOUS_NULL,0.2596,0.554229,False,FE/Wald/trim-and-fill,-0.5978,0.060702,False,FE/Wald/PET-PEESE,0.8574,Extreme,66.67
CD003331,35,ratio,2268,UNANIMOUS_NULL,-0.0015,0.995566,False,FE/Wald/PET-PEESE,0.2769,0.190196,False,FE/Wald/PET-PEESE,0.2785,Moderate,67.59
CD003333,4,ratio,315,UNANIMOUS_NULL,-0.0032,0.959309,False,FE/Wald/none,0.0458,0.25128,False,FE/Wald/PET-PEESE,0.049,Narrow,66.67
CD003357,7,ratio,504,SPLIT,0.7252,1e-06,True,FE/Wald/none,0.5456,0.066587,False,FE/HKSJ/none,0.1796,Moderate,44.84
CD003376,15,ratio,1008,UNANIMOUS_NULL,-0.0284,0.960163,False,FE/Wald/PET-PEESE,-0.3583,0.124483,False,FE/Wald/none,0.3299,Wide,91.67
CD003414,16,ratio,1071,UNANIMOUS_NULL,0.0074,0.950413,False,DL/Wald/trim-and-fill,-0.1315,0.17361,False,PM/Wald/trim-and-fill,0.1388,Moderate,61.06
CD003429,6,ratio,441,SPLIT,1.1584,0.040135,True,FE/Wald/none,-0.1886,0.007018,False,FE/Wald/PET-PEESE,1.347,Extreme,65.08
CD003477,11,difference,756,UNANIMOUS_NULL,-0.0012,0.991521,False,PM/Wald/none,0.9855,0.193232,False,FE/Wald/PET-PEESE,0.9867,Wide,69.44
CD003511,8,ratio,567,SPLIT,-0.4759,0.002499,True,FE/Wald/trim-and-fill,-0.344,0.086115,False,REML/HKSJ/trim-and-fill,0.1319,Moderate,92.95
CD003519,15,ratio,1008,SPLIT,0.2392,0.0,True,FE/Wald/none,0.1307,0.051218,False,FE/HKSJ/trim-and-fill,0.1086,Moderate,52.08
CD003594,11,ratio,756,SPLIT,-0.74,0.002897,True,FE/Wald/trim-and-fill,-0.74,0.07147,False,FE/HKSJ/trim-and-fill,0.0,Narrow,87.17
CD003598,21,ratio,1386,SPLIT,-0.1779,0.006405,True,FE/Wald/PET-PEESE,-0.1606,0.050131,False,FE/Wald/PET-PEESE,0.0173,Narrow,79.29
CD003743,6,ratio,441,SPLIT,-0.9373,0.003797,True,FE/Wald/PET-PEESE,-0.8991,0.056018,False,FE/Wald/PET-PEESE,0.0382,Narrow,84.13
CD003774,42,ratio,2709,UNANIMOUS_SIGNIFICANT,-0.914,0.0,True,FE/Wald/none,-0.7357,0.0,True,FE/Wald/PET-PEESE,0.1783,Moderate,100.0
CD003833,4,ratio,315,UNANIMOUS_NULL,0.053,0.948637,False,FE/Wald/none,-3.3778,0.069285,False,FE/Wald/PET-PEESE,3.4307,Extreme,93.33
CD003962,6,ratio,441,SPLIT,-0.4256,0.025487,True,FE/Wald/PET-PEESE,-0.6447,0.069165,False,FE/Wald/PET-PEESE,0.2191,Moderate,85.71
CD004184,7,ratio,504,UNANIMOUS_NULL,0.0048,0.985369,False,HE/Wald/trim-and-fill,-0.0954,0.281023,False,FE/Wald/none,0.1001,Moderate,76.19
CD004307,42,ratio,2709,UNANIMOUS_SIGNIFICANT,0.438,0.0,True,FE/Wald/none,0.4168,0.0,True,REML/Wald/none,0.0211,Narrow,100.0
CD004376,104,ratio,6615,UNANIMOUS_NULL,-0.0106,0.822253,False,FE/Wald/none,-0.1445,0.092686,False,FE/Wald/PET-PEESE,0.1339,Moderate,100.0
CD004406,6,ratio,441,SPLIT,0.248,0.019196,True,FE/Wald/PET-PEESE,0.4682,0.065114,False,FE/Wald/PET-PEESE,0.2203,Moderate,85.71
CD004417,17,ratio,1134,SPLIT,-3.2921,0.0,True,FE/Wald/none,-1.5089,0.056119,False,FE/Wald/PET-PEESE,1.7832,Extreme,96.3
CD004508,6,ratio,441,UNANIMOUS_NULL,-0.0025,0.989532,False,HS/Wald/none,0.2592,0.014159,False,FE/Wald/trim-and-fill,0.2617,Moderate,51.7
CD004661,12,ratio,819,UNANIMOUS_NULL,0.0009,0.990734,False,FE/Wald/none,-0.0937,0.202277,False,FE/Wald/trim-and-fill,0.0946,Narrow,87.55
CD004667,16,ratio,1071,SPLIT,-0.1098,0.001548,True,FE/Wald/trim-and-fill,-0.0968,0.054467,False,FE/HKSJ/none,0.013,Narrow,34.08
CD004703,4,ratio,315,SPLIT,-3.5234,0.013505,True,FE/Wald/PET-PEESE,-4.2184,0.313061,False,FE/Wald/PET-PEESE,0.6949,Extreme,86.67
CD004736,14,ratio,945,SPLIT,-0.8442,0.0,True,FE/Wald/none,-0.4024,0.055889,False,FE/HKSJ/trim-and-fill,0.4418,Wide,66.24
CD004762,5,difference,378,SPLIT,-0.2981,0.006492,True,FE/Wald/PET-PEESE,-0.1654,0.067908,False,FE/HKSJ/none,0.1327,Narrow,26.98
CD004871,5,ratio,378,SPLIT,-0.4522,1.3e-05,True,FE/Wald/none,0.3012,0.012712,False,FE/Wald/PET-PEESE,0.7534,Extreme,26.46
CD004904,4,ratio,315,SPLIT,3.1039,0.016828,True,FE/Wald/PET-PEESE,0.4728,0.480197,False,FE/Wald/PET-PEESE,2.6311,Extreme,64.76
CD004925,31,ratio,2016,SPLIT,-1.0976,0.0,True,FE/Wald/none,-0.622,0.120982,False,FE/Wald/PET-PEESE,0.4756,Wide,66.67
CD004953,11,ratio,756,UNANIMOUS_NULL,0.0,0.999776,False,HS/Wald/none,-0.3748,0.113654,False,FE/Wald/PET-PEESE,0.3749,Wide,18.25
CD004992,4,ratio,315,SPLIT,-1.7466,0.0,True,DL/Wald/trim-and-fill,-1.9281,0.051418,False,REML/HKSJ/none,0.1815,Moderate,65.4
CD005133,39,ratio,2520,SPLIT,-0.1391,0.005574,True,FE/Wald/none,-0.0918,0.054206,False,FE/HKSJ/none,0.0473,Narrow,10.99
CD005187,5,ratio,378,SPLIT,-0.4161,0.0,True,FE/Wald/none,-0.2598,0.238188,False,FE/Wald/PET-PEESE,0.1563,Moderate,66.67
CD005343,31,ratio,2016,SPLIT,-0.3696,0.0,True,FE/Wald/none,-0.19,0.157955,False,FE/Wald/PET-PEESE,0.1797,Moderate,66.67
CD005495,9,ratio,630,UNANIMOUS_NULL,-0.0145,0.961565,False,HE/Wald/trim-and-fill,1.2541,0.00382,False,FE/Wald/PET-PEESE,1.2686,Extreme,64.29
CD005566,28,ratio,1827,SPLIT,-0.3745,2e-06,True,FE/Wald/PET-PEESE,-0.1743,0.055034,False,REML/HKSJ/none,0.2002,Moderate,90.42
CD005582,4,ratio,315,UNANIMOUS_NULL,0.3191,0.732995,False,FE/Wald/none,0.3799,0.102711,False,FE/Wald/PET-PEESE,0.0609,Narrow,100.0
CD005595,32,ratio,2079,UNANIMOUS_NULL,0.3,0.313782,False,FE/Wald/PET-PEESE,0.2547,0.084303,False,FE/Wald/none,0.0453,Narrow,100.0
CD005951,7,ratio,504,SPLIT,-0.4114,0.008067,True,FE/Wald/none,-0.4041,0.086419,False,HS/HKSJ/none,0.0072,Narrow,79.96
CD006023,18,ratio,1197,SPLIT,-1.2154,0.0,True,FE/Wald/none,-0.6518,0.05489,False,FE/Wald/PET-PEESE,0.5637,Extreme,71.93
CD006027,4,ratio,315,SPLIT,-1.1546,0.0,True,FE/Wald/none,-1.1832,0.110377,False,FE/HKSJ/none,0.0286,Narrow,36.19
CD006124,6,ratio,441,SPLIT,0.5942,1e-06,True,FE/Wald/trim-and-fill,0.5942,0.097992,False,FE/HKSJ/trim-and-fill,0.0,Narrow,76.19
CD006140,8,ratio,567,SPLIT,-0.1307,2e-06,True,FE/Wald/none,-0.1307,0.120166,False,FE/HKSJ/none,0.0,Narrow,39.68
CD006182,4,ratio,315,SPLIT,0.8128,0.0,True,FE/Wald/none,0.4373,0.144853,False,FE/Wald/PET-PEESE,0.3755,Wide,60.32
CD006185,78,ratio,4977,SPLIT,0.5942,0.0,True,FE/Wald/none,0.4286,0.056145,False,FE/Wald/PET-PEESE,0.1656,Moderate,70.46
CD006257,9,ratio,630,SPLIT,-0.2684,0.021901,True,FE/Wald/trim-and-fill,-0.2684,0.055747,False,FE/HKSJ/trim-and-fill,0.0,Narrow,89.05
CD006404,112,ratio,7119,SPLIT,-0.0913,0.004971,True,FE/Wald/trim-and-fill,-0.075,0.050263,False,FE/HKSJ/trim-and-fill,0.0163,Narrow,65.05
CD006475,27,ratio,1764,SPLIT,-0.1362,0.002074,True,FE/Wald/none,-0.1109,0.053323,False,FE/HKSJ/trim-and-fill,0.0253,Narrow,60.09
CD006515,5,ratio,378,UNANIMOUS_NULL,-0.3597,0.824412,False,FE/Wald/PET-PEESE,-0.3652,0.019551,False,FE/Wald/PET-PEESE,0.0054,Narrow,72.22
CD006536,43,ratio,2772,SPLIT,-0.7328,0.000657,True,FE/Wald/PET-PEESE,-0.2964,0.087989,False,FE/Wald/none,0.4364,Wide,98.48
CD006606,4,ratio,315,SPLIT,-1.094,0.0,True,FE/Wald/trim-and-fill,-0.5071,0.100428,False,FE/Wald/PET-PEESE,0.5869,Extreme,64.44
CD006632,23,difference,1512,SPLIT,-0.8428,0.0,True,FE/Wald/none,-0.4963,0.051444,False,FE/Wald/PET-PEESE,0.3465,Moderate,76.39
CD006689,5,ratio,378,SPLIT,-0.552,0.009386,True,FE/Wald/trim-and-fill,-1.9718,0.073281,False,FE/Wald/PET-PEESE,1.4198,Extreme,16.14
CD006712,3,difference,252,SPLIT,0.5355,0.042205,True,FE/Wald/trim-and-fill,1.2378,0.192295,False,FE/Wald/PET-PEESE,0.7023,Wide,72.22
CD006714,3,ratio,252,UNANIMOUS_NULL,0.0,1.0,False,FE/Wald/none,0.0123,0.146662,False,FE/Wald/PET-PEESE,0.0123,Narrow,66.67
CD006742,4,ratio,315,UNANIMOUS_NULL,-0.0634,0.906485,False,HS/Wald/trim-and-fill,-0.5175,0.13485,False,FE/Wald/PET-PEESE,0.4541,Wide,86.67
CD006839,3,ratio,252,UNANIMOUS_NULL,-0.0381,0.729168,False,FE/Wald/PET-PEESE,-0.0849,0.384881,False,FE/Wald/none,0.0469,Narrow,100.0
CD006913,29,ratio,1890,SPLIT,-0.1469,0.000104,True,REML/Wald/trim-and-fill,-0.0715,0.05365,False,DL/HKSJ/trim-and-fill,0.0754,Narrow,30.85
CD006919,19,ratio,1260,SPLIT,0.4485,0.000882,True,FE/Wald/none,0.3008,0.052734,False,FE/HKSJ/none,0.1477,Moderate,62.38
CD006942,4,ratio,315,UNANIMOUS_NULL,0.044,0.889057,False,HS/Wald/trim-and-fill,0.5911,0.0,False,FE/Wald/PET-PEESE,0.547,Extreme,27.62
CD006982,4,ratio,315,UNANIMOUS_NULL,-0.0311,0.986243,False,FE/Wald/PET-PEESE,-2.1582,0.086127,False,FE/Wald/PET-PEESE,2.1271,Extreme,69.52
CD007024,18,ratio,1197,SPLIT,0.1699,0.026385,True,FE/Wald/none,0.1466,0.055898,False,FE/Wald/none,0.0233,Narrow,91.23
CD007026,7,ratio,504,SPLIT,-0.1548,0.028735,True,FE/Wald/PET-PEESE,-0.2284,0.227035,False,FE/Wald/PET-PEESE,0.0736,Narrow,87.5
CD007079,10,ratio,693,SPLIT,-0.1534,0.007735,True,FE/Wald/none,-0.1534,0.091412,False,FE/HKSJ/none,0.0,Narrow,7.65
CD007130,26,ratio,1701,SPLIT,0.0518,0.015074,True,DL/Wald/trim-and-fill,0.0482,0.052894,False,DL/HKSJ/trim-and-fill,0.0036,Narrow,58.32
CD007156,3,ratio,252,SPLIT,-1.1132,0.000267,True,FE/Wald/none,-1.1132,0.06769,False,FE/HKSJ/none,0.0,Narrow,36.11
CD007310,7,ratio,504,UNANIMOUS_NULL,-0.1407,0.957115,False,FE/Wald/PET-PEESE,0.6204,0.210089,False,FE/Wald/PET-PEESE,0.7611,Extreme,95.83
CD007374,6,ratio,441,SPLIT,-1.0824,0.00158,True,FE/Wald/PET-PEESE,-0.3047,0.382048,False,FE/Wald/trim-and-fill,0.7776,Extreme,95.24
CD007491,8,ratio,567,SPLIT,0.1707,0.033704,True,FE/Wald/trim-and-fill,0.1707,0.219952,False,FE/HKSJ/trim-and-fill,0.0,Narrow,83.95
CD007569,6,ratio,441,SPLIT,0.3158,0.014733,True,FE/Wald/PET-PEESE,0.1771,0.099195,False,FE/HKSJ/none,0.1388,Moderate,79.37
CD007572,10,ratio,693,SPLIT,-0.1439,0.0,True,FE/Wald/none,0.0513,0.537107,False,FE/Wald/PET-PEESE,0.1952,Moderate,66.67
CD007639,5,ratio,378,UNANIMOUS_NULL,-0.0065,0.972798,False,HE/Wald/none,0.3273,0.009016,False,FE/Wald/trim-and-fill,0.3338,Wide,34.92
CD007674,28,ratio,1827,SPLIT,0.3538,0.0,True,FE/Wald/none,0.2254,0.050465,False,FE/HKSJ/none,0.1285,Moderate,55.17
CD007784,13,ratio,882,UNANIMOUS_SIGNIFICANT,-0.2692,0.0,True,FE/Wald/none,-0.347,8.4e-05,True,HS/Wald/trim-and-fill,0.0777,Narrow,100.0
CD007809,3,ratio,252,UNANIMOUS_NULL,-0.3557,0.885905,False,FE/Wald/PET-PEESE,0.446,0.17164,False,FE/Wald/none,0.8016,Extreme,91.67
CD007859,3,ratio,252,UNANIMOUS_NULL,0.0217,0.93524,False,HS/Wald/trim-and-fill,0.3614,0.063245,False,FE/Wald/none,0.3397,Wide,91.67
CD007872,3,ratio,252,UNANIMOUS_NULL,-0.0297,0.583717,False,FE/Wald/none,0.1224,0.144311,False,FE/Wald/PET-PEESE,0.1521,Moderate,91.67
CD007895,3,ratio,252,UNANIMOUS_NULL,0.1949,0.754723,False,FE/Wald/none,2.3424,0.418231,False,FE/Wald/PET-PEESE,2.1474,Extreme,75.0
CD007896,35,ratio,2268,SPLIT,0.9558,0.0,True,FE/Wald/none,0.491,0.063398,False,FE/Wald/PET-PEESE,0.4647,Wide,67.59
CD008063,50,difference,3213,SPLIT,0.1725,0.0,True,FE/Wald/none,-0.0512,0.385253,False,FE/Wald/PET-PEESE,0.2237,Moderate,66.67
CD008145,6,ratio,441,SPLIT,0.3028,0.0,True,FE/Wald/none,0.0911,0.111385,False,FE/HKSJ/none,0.2117,Moderate,48.53
CD008165,13,ratio,882,SPLIT,-0.1848,0.0,True,FE/Wald/none,-0.1962,0.059668,False,FE/HKSJ/none,0.0114,Narrow,25.62
CD008176,38,ratio,2457,UNANIMOUS_NULL,0.002,0.979454,False,FE/Wald/trim-and-fill,0.15,0.173004,False,FE/Wald/PET-PEESE,0.148,Moderate,65.81
CD008237,6,ratio,441,SPLIT,0.2762,0.0,True,FE/Wald/none,0.1922,0.05672,False,FE/Wald/PET-PEESE,0.084,Narrow,62.59
CD008309,4,ratio,315,SPLIT,-0.7742,3.4e-05,True,FE/Wald/trim-and-fill,-2.475,0.107024,False,FE/Wald/PET-PEESE,1.7008,Extreme,20.95
CD008349,68,difference,4347,SPLIT,0.2279,0.0,True,FE/Wald/none,0.0753,0.304141,False,FE/HKSJ/trim-and-fill,0.1526,Narrow,47.85
CD008469,11,ratio,756,UNANIMOUS_NULL,0.0149,0.990663,False,FE/Wald/PET-PEESE,0.3153,0.442524,False,FE/Wald/trim-and-fill,0.3004,Wide,69.44
CD008493,10,ratio,693,SPLIT,-0.1029,0.031282,True,FE/Wald/none,-0.1029,0.149354,False,FE/HKSJ/none,0.0,Narrow,65.37
CD008552,5,ratio,378,SPLIT,0.2998,0.013292,True,FE/Wald/PET-PEESE,0.6498,0.099439,False,FE/HKSJ/none,0.35,Wide,69.58
CD008564,12,ratio,819,SPLIT,-0.301,6.4e-05,True,FE/Wald/trim-and-fill,-0.5264,0.050523,False,FE/Wald/PET-PEESE,0.2254,Moderate,59.71
CD008628,9,ratio,630,UNANIMOUS_NULL,-0.0103,0.977175,False,FE/Wald/PET-PEESE,0.2378,0.206042,False,FE/Wald/none,0.248,Moderate,70.0
CD008688,3,ratio,252,UNANIMOUS_NULL,-0.0287,0.749775,False,FE/Wald/none,0.1328,0.167073,False,FE/Wald/PET-PEESE,0.1616,Moderate,91.67
CD008709,31,ratio,2016,SPLIT,-0.4822,0.005838,True,FE/Wald/trim-and-fill,-0.369,0.05002,False,FE/HKSJ/none,0.1132,Moderate,62.15
CD008858,63,ratio,4032,UNANIMOUS_SIGNIFICANT,0.5711,0.0,True,FE/Wald/none,0.456,1e-06,True,FE/Wald/PET-PEESE,0.115,Moderate,100.0
CD008879,8,ratio,567,SPLIT,-0.3298,0.007103,True,FE/Wald/PET-PEESE,-0.3545,0.077362,False,FE/HKSJ/trim-and-fill,0.0246,Narrow,24.34
CD008940,4,ratio,315,UNANIMOUS_NULL,-0.0128,0.985465,False,FE/Wald/none,3.1093,0.015141,False,FE/Wald/PET-PEESE,3.122,Extreme,33.33
CD009022,9,ratio,630,SPLIT,1.2849,0.001174,True,FE/Wald/trim-and-fill,1.1122,0.054633,False,FE/HKSJ/none,0.1727,Moderate,57.78
CD009102,5,ratio,378,SPLIT,-0.3212,0.017088,True,FE/Wald/PET-PEESE,-0.3631,0.128117,False,FE/HKSJ/trim-and-fill,0.0419,Narrow,77.78
CD009235,31,ratio,2016,UNANIMOUS_NULL,-0.0181,0.800103,False,FE/Wald/trim-and-fill,-0.1042,0.178267,False,HS/Wald/none,0.0861,Narrow,66.67
CD009252,14,ratio,945,SPLIT,0.3547,0.001874,True,FE/Wald/trim-and-fill,0.3547,0.058547,False,FE/HKSJ/trim-and-fill,0.0,Narrow,92.7
CD009298,11,ratio,756,UNANIMOUS_NULL,-0.0198,0.739886,False,FE/Wald/none,-0.0905,0.134547,False,FE/Wald/trim-and-fill,0.0706,Narrow,100.0
CD009362,27,ratio,1764,UNANIMOUS_SIGNIFICANT,-1.0105,0.0,True,FE/Wald/none,-0.8253,0.002484,True,FE/Wald/PET-PEESE,0.1852,Moderate,100.0
CD009417,5,ratio,378,SPLIT,1.1683,0.017919,True,FE/Wald/PET-PEESE,-0.2666,0.074888,False,FE/Wald/PET-PEESE,1.4348,Extreme,29.37
CD009508,10,ratio,693,SPLIT,0.751,0.00049,True,FE/Wald/none,0.6355,0.090976,False,FE/HKSJ/trim-and-fill,0.1155,Moderate,18.9
